*.uuid,*.event,*.properties.$survey_response_54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,*.properties.$browser_language,*.properties.$is_identified,*.properties.$process_person_profile,*.properties.$timezone_offset,*.properties.distinct_id,*.properties.locale,*.properties.sessionRecordingUrl,*.properties.$config_defaults,*.properties.$referring_domain,*.properties.$browser_language_prefix,*.properties.$os_version,*.properties.$pathname,*.properties.$lib_version,*.properties.$time,*.properties.$viewport_width,*.properties.$last_posthog_reset,*.properties.$active_feature_flags.0,*.properties.models.0,*.properties.models.1,*.properties.$referrer,*.properties.$sdk_debug_retry_queue_size,*.properties.$timezone,*.properties.$screen_width,*.properties.$survey_iteration_start_date,*.properties.$survey_submission_id,*.properties.$session_entry_pathname,*.properties.$survey_questions.0.id,*.properties.$survey_questions.0.question,*.properties.$survey_questions.0.response,*.properties.$survey_questions.1.id,*.properties.$survey_questions.1.question,*.properties.$survey_questions.1.response,*.properties.$survey_questions.2.id,*.properties.$survey_questions.2.question,*.properties.$survey_questions.2.response,*.properties.$survey_questions.3.id,*.properties.$survey_questions.3.question,*.properties.$survey_questions.3.response,*.properties.$survey_response_f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,*.properties.$recording_status,*.properties.$lib_rate_limit_remaining_tokens,*.properties.$os,*.properties.$session_entry_host,*.properties.token,*.properties.$device_id,*.properties.$window_id,*.properties.$feature/survey-targeting-eaa521fd76-custom,*.properties.$browser,*.properties.search_query,*.properties.$session_entry_referrer,*.properties.$survey_response_ecd62d4a-759a-4c72-901a-b5d075665d55,*.properties.$pageview_id,*.properties.$raw_user_agent,*.properties.$insert_id,*.properties.$current_url,*.properties.$feature/survey-targeting-52f93e9341-custom,*.properties.$browser_version,*.properties.$session_entry_referring_domain,*.properties.$session_entry_url,*.properties.$survey_completed,*.properties.$device_type,*.properties.$survey_iteration,*.properties.$session_id,*.properties.$viewport_height,*.properties.$feature_flag_request_id,*.properties.$survey_response_a77642fa-56fe-46d2-aa68-7f62c94250ae,*.properties.$survey_id,*.properties.$host,*.properties.$survey_name,*.properties.$screen_height,*.properties.$lib,*.properties.$sdk_dist_channel,*.properties.$ip,*.properties.$sent_at,*.properties.$geoip_country_name,*.properties.$geoip_country_code,*.properties.$geoip_continent_name,*.properties.$geoip_continent_code,*.properties.$geoip_latitude,*.properties.$geoip_longitude,*.properties.$geoip_accuracy_radius,*.properties.$geoip_time_zone,*.properties.$geoip_subdivision_1_code,*.properties.$geoip_subdivision_1_name,*.properties.$transformations_succeeded.0,*.properties.$has_recording,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,*.person_mode,*.properties.$active_feature_flags.1,"getSurveyResponse(0, 'ecd62d4a-759a-4c72-901a-b5d075665d55') -- Dans quelle langue était votre requête?","getSurveyResponse(1, '54e3618f-8c3b-48a3-ad73-b71f74d5aa0c') -- Quels résultats préférez-vous pour cette requête?","getSurveyResponse(2, 'a77642fa-56fe-46d2-aa68-7f62c94250ae') -- Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?","getSurveyResponse(3, 'f827ddd2-3815-4488-9df6-cd0d2ecbf3c5') -- Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?",timestamp,"coalesce(nullIf(toString(person.properties.email), ''), nullIf(toString(person.properties.name), ''), nullIf(toString(person.properties.username), ''), distinct_id) -- Person"
019f670a-35af-7967-9a3a-84a75b71ea2e,survey sent,Résultats de la Recherche par Mot-clé,fr-CA,False,False,240,019f6709-67f1-7332-a468-2e05116b2d1a,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f6709-67f4-76c1-9e9d-af1ed795ad4f,unset,canadian-geospatial-platform.github.io,fr,10,/semantic-search-demo/,1.398.2,1784140150.192,3200,2026-07-15T18:28:17.521Z,survey-targeting-52f93e9341-custom,keyword_search,semantic_search_new,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,2560,2026-07-06T13:57:10.016000Z,019f6709-1b44-76e3-9cf6-1fe59d3ac8b6,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la Recherche par Mot-clé,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,Plus de 10e,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,plus de 10e,plus de 10e,lazy_loading,98.02,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f6700-59f7-79d3-be7f-1b904ca108ea,019f6709-67f4-76c1-9e9d-af1fe3050fc8,False,Chrome,mnehr,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f6700-ba59-79f4-b48b-e3d9dbaf73e8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",0tgg48y05w93p729,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f6709-67f4-76c1-9e9d-af1ed795ad4f,1788,814f5265-d1f6-4f21-bc2d-45d3a4700cdb,Plus de 10e,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1600,web,npm,205.194.32.28,2026-07-15T18:29:13.206Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-15 18:29:10.125000+00:00,74938,019f6709-67f1-7332-a468-2e05116b2d1a,,2026-07-15 18:29:15.448000+00:00,propertyless,,En français,Résultats de la Recherche par Mot-clé,Plus de 10e,plus de 10e,2026-07-15 18:29:10.125000+00:00,019f6709-67f1-7332-a468-2e05116b2d1a
019f6707-6251-75ed-8a17-d02aba49a87d,survey sent,Résultats de la Recherche par Mot-clé,fr-CA,False,False,240,019f6707-04a9-7657-aaa7-3d3c9db94a61,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f6707-04ac-72b5-a4d6-854e539f0ca9,unset,canadian-geospatial-platform.github.io,fr,10,/semantic-search-demo/,1.398.2,1784139965.01,3200,2026-07-15T18:25:41.034Z,survey-targeting-52f93e9341-custom,keyword_search,semantic_search,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,2560,2026-07-06T13:57:10.016000Z,019f6704-3554-7199-bd52-ed97e5bcc54d,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la Recherche par Mot-clé,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,au delà de 10e,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,4ème,4ème,lazy_loading,98.02,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f6700-59f7-79d3-be7f-1b904ca108ea,019f6707-04ac-72b5-a4d6-854f5e451d1d,True,Chrome,lidar,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f6700-ba59-79f4-b48b-e3d9dbaf73e8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",crovjqguvegtkngh,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f6707-04ac-72b5-a4d6-854e539f0ca9,1788,617cd6aa-36b8-463c-aca3-10586890091b,au delà de 10e,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1600,web,npm,205.194.32.28,2026-07-15T18:26:08.015Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-15 18:26:04.946000+00:00,74938,019f6707-04a9-7657-aaa7-3d3c9db94a61,,2026-07-15 18:26:10.683000+00:00,propertyless,survey-targeting-eaa521fd76-custom,En français,Résultats de la Recherche par Mot-clé,au delà de 10e,4ème,2026-07-15 18:26:04.946000+00:00,019f6707-04a9-7657-aaa7-3d3c9db94a61
019f65f1-922c-7312-9d09-abfe480cad0a,survey sent,Résultats de la  Recherche Sémantique *Nouveau*,en-US,False,False,240,019f65f0-6b70-7afb-b49a-c1cdf706b952,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f65f0-6ebc-78bf-9927-800dfee72124,unset,teams.public.onecdn.static.microsoft,en,10,/semantic-search-demo/,1.398.2,1784121758.252,1912,2026-07-15T13:21:22.800Z,survey-targeting-52f93e9341-custom,semantic_search,semantic_search_new,https://teams.public.onecdn.static.microsoft/,0,America/Toronto,1920,2026-07-06T13:57:10.016000Z,019f65f0-9889-70ba-b818-0d6bccecd468,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la  Recherche Sémantique *Nouveau*,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,2ème,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,2ème,2ème,lazy_loading,98.01,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f5d00-2f52-78ed-9439-83f620e691d7,019f65f0-6ebc-78bf-9927-800ea9ec31dc,False,Microsoft Edge,feux de forêts en Colombie-Britanique,https://teams.public.onecdn.static.microsoft/,En français,019f65ef-4ed7-7e08-9930-087e8e83d64a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",rgczkaxm7wrjf172,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,teams.public.onecdn.static.microsoft,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f65f0-6ebc-78bf-9927-800dfee72124,914,14d43ac5-8f36-46f4-9d75-37360a43bd7e,2ème,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1080,web,npm,205.194.32.26,2026-07-15T13:22:40.472Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-15 13:22:38.467000+00:00,74938,019f65f0-6b70-7afb-b49a-c1cdf706b952,,2026-07-15 13:22:41.029000+00:00,propertyless,,En français,Résultats de la  Recherche Sémantique *Nouveau*,2ème,2ème,2026-07-15 13:22:38.467000+00:00,019f65f0-6b70-7afb-b49a-c1cdf706b952
019f6215-8596-7057-97ad-a6f58fdb273e,survey sent,Résultats de la  Recherche Sémantique *Nouveau*,en-US,False,False,240,019f620f-290d-7400-a39a-e4875e1cb4a3,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f620f-300f-720e-a508-041410a91643,unset,canadian-geospatial-platform.github.io,en,10,/semantic-search-demo/,1.398.2,1784057005.463,1912,2026-07-14T19:16:28.558Z,survey-targeting-52f93e9341-custom,semantic_search,semantic_search_new,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,1920,2026-07-06T13:57:10.016000Z,019f61e1-69ba-7df5-a48f-5ea6046e724a,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la  Recherche Sémantique *Nouveau*,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,It's probably more an issue of the description of the metadata than the semantic search but I was hoping to see: https://app.geo.ca/fr-ca/map-browser/record/ae385105-e48c-4b54-bd0f-dfb7303301cb. bassin versant is not even in the keywords/title so it's not a model issue,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,same comment then recherche sémantique nouveau.,same comment then recherche sémantique nouveau.,lazy_loading,98.02,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f61cc-9149-7a1e-b5a9-c5246a878b9f,019f620f-3010-7e3e-a857-fd3a736e39b5,False,Microsoft Edge,bassins versants canada,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f61d9-d1a9-701b-91be-406f2b67ce5d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",97novlz96abb9djx,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f620f-300f-720e-a508-041410a91643,948,b53a4c28-00d4-40be-bad7-88e4e3fca23e,It's probably more an issue of the description of the metadata than the semantic search but I was hoping to see: https://app.geo.ca/fr-ca/map-browser/record/ae385105-e48c-4b54-bd0f-dfb7303301cb. bassin versant is not even in the keywords/title so it's not a model issue,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1080,web,npm,205.194.32.27,2026-07-14T19:23:28.467Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-14 19:23:25.505000+00:00,74938,019f620f-290d-7400-a39a-e4875e1cb4a3,,2026-07-14 19:23:29.740000+00:00,propertyless,,En français,Résultats de la  Recherche Sémantique *Nouveau*,It's probably more an issue of the description of the metadata than the semantic search but I was hoping to see: https://app.geo.ca/fr-ca/map-browser/record/ae385105-e48c-4b54-bd0f-dfb7303301cb. bassin versant is not even in the keywords/title so it's not a model issue,same comment then recherche sémantique nouveau.,2026-07-14 19:23:25.505000+00:00,019f620f-290d-7400-a39a-e4875e1cb4a3
019f61e0-dd19-7772-9e46-18642f31c44a,survey sent,Résultats de la Recherche Sémantique,en-US,False,False,240,019f61df-82da-7066-893d-8c9148bb7665,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f61df-82db-7464-b35e-9669cfcb319b,unset,canadian-geospatial-platform.github.io,en,10,/semantic-search-demo/,1.398.2,1784053554.457,1912,2026-07-14T18:24:25.818Z,survey-targeting-52f93e9341-custom,semantic_search,semantic_search_new,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,1920,2026-07-06T13:57:10.016000Z,019f61df-b050-789a-8473-b3e4262196ec,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la Recherche Sémantique,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,6,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,1er,1er,lazy_loading,98.02,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f61cc-9149-7a1e-b5a9-c5246a878b9f,019f61df-82db-7464-b35e-966a95779f33,False,Microsoft Edge,élévation canada,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f61d9-d1a9-701b-91be-406f2b67ce5d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",5rdtuenx1zhj4f72,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f61df-82db-7464-b35e-9669cfcb319b,948,d93550ad-9f11-42a2-91d7-bf740a9e0eb8,6,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1080,web,npm,205.194.32.27,2026-07-14T18:25:56.663Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-14 18:25:54.502000+00:00,74938,019f61df-82da-7066-893d-8c9148bb7665,,2026-07-14 18:25:59.113000+00:00,propertyless,,En français,Résultats de la Recherche Sémantique,6,1er,2026-07-14 18:25:54.502000+00:00,019f61df-82da-7066-893d-8c9148bb7665
019f61df-47aa-76d7-bc3d-c9a36bfe412a,survey sent,Résultats de la Recherche Sémantique,en-US,False,False,240,019f61da-30fa-7d54-909d-42623fb3f4d6,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f61da-3268-7bed-ad6a-22daf677c8d0,unset,canadian-geospatial-platform.github.io,en,10,/semantic-search-demo/,1.398.2,1784053450.666,1912,2026-07-14T18:18:37.178Z,survey-targeting-52f93e9341-custom,keyword_search,semantic_search,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,1920,2026-07-06T13:57:10.016000Z,019f61db-aabc-726a-b7eb-5abd351e0b87,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la Recherche Sémantique,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,j'ai juste comparé recherche sémantique et keywords,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,1er,1er,lazy_loading,98.01,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f61cc-9149-7a1e-b5a9-c5246a878b9f,019f61da-3268-7bed-ad6a-22dbedfedd15,False,Microsoft Edge,élévation canada,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f61d9-d1a9-701b-91be-406f2b67ce5d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",p5hcymarjg0527de,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f61da-3268-7bed-ad6a-22daf677c8d0,948,b3f8401b-1076-4965-a8f0-8972fe840099,j'ai juste comparé recherche sémantique et keywords,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1080,web,npm,205.194.32.27,2026-07-14T18:24:13.103Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-14 18:24:10.705000+00:00,74938,019f61da-30fa-7d54-909d-42623fb3f4d6,,2026-07-14 18:24:14.345000+00:00,propertyless,,En français,Résultats de la Recherche Sémantique,j'ai juste comparé recherche sémantique et keywords,1er,2026-07-14 18:24:10.705000+00:00,019f61da-30fa-7d54-909d-42623fb3f4d6
019f61ce-a07f-7caa-b3b3-dc58c45972cb,survey sent,Résultats de la  Recherche Sémantique *Nouveau*,en-US,False,False,240,019f61cd-764a-7a84-b175-0ee7dcec73b1,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f61cd-7650-7a86-b386-36f26e06aa3e,unset,canadian-geospatial-platform.github.io,en,10,/semantic-search-demo/,1.398.2,1784052359.296,1912,2026-07-14T18:04:42.954Z,survey-targeting-52f93e9341-custom,semantic_search,semantic_search_new,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,1920,2026-07-06T13:57:10.016000Z,019f61cd-a151-7ff1-8c59-65d15cd71f74,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la  Recherche Sémantique *Nouveau*,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,,,lazy_loading,98.02,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f5d00-2f52-78ed-9439-83f620e691d7,019f61cd-7650-7a86-b386-36f3629feb11,False,Microsoft Edge,inondations,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f61cc-6c0a-78ef-bcd9-c64e46099fdf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",7ms3mp9x6aq4fvr9,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,False,Desktop,1,019f61cd-7650-7a86-b386-36f26e06aa3e,914,3e8c5ee9-785d-48bb-812e-b4302a0013ed,,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1080,web,npm,205.194.32.28,2026-07-14T18:06:01.64Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-14 18:05:59.394000+00:00,74938,019f61cd-764a-7a84-b175-0ee7dcec73b1,,2026-07-14 18:06:04.036000+00:00,propertyless,,En français,Résultats de la  Recherche Sémantique *Nouveau*,,,2026-07-14 18:05:59.394000+00:00,019f61cd-764a-7a84-b175-0ee7dcec73b1
019f61ac-0b23-7d19-af32-e6fb12406dea,survey sent,Résultats de la Recherche Sémantique,fr,False,False,240,019f61ab-2e35-7596-9c58-f34ab5c2461f,fr,https://us.posthog.com/project/phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07/replay/019f61ab-2e37-7f63-bc04-70d076e8a9a5,unset,canadian-geospatial-platform.github.io,fr,10,/semantic-search-demo/,1.398.2,1784050092.836,1912,2026-07-14T17:27:16.277Z,survey-targeting-52f93e9341-custom,semantic_search,semantic_search_new,https://canadian-geospatial-platform.github.io/semantic-search-demo/,0,America/Toronto,1920,2026-07-06T13:57:10.016000Z,019f61a9-8aea-700a-b4c6-06079a1fc3cf,/semantic-search-demo/,ecd62d4a-759a-4c72-901a-b5d075665d55,Dans quelle langue était votre requête?,En français,54e3618f-8c3b-48a3-ad73-b71f74d5aa0c,Quels résultats préférez-vous pour cette requête?,Résultats de la Recherche Sémantique,a77642fa-56fe-46d2-aa68-7f62c94250ae,Pour les résultats de la Recherche Sémantique *Nouveau* : à quelle position le document le plus pertinent a-t-il été trouvé ?,2ème,f827ddd2-3815-4488-9df6-cd0d2ecbf3c5,Pour les résultats de la recherche sémantique : à quelle position le document le plus pertinent a-t-il été trouvé?,1er,1er,lazy_loading,98.02,Windows,canadian-geospatial-platform.github.io,phc_gXl8K7Gu7YCBU5KH6sO8pFy0InNYRWngGdZ4o23KM07,019f6196-f038-72a1-863f-1b6e69389ca6,019f61ab-2e37-7f63-bc04-70d144e248d5,False,Microsoft Edge,aires marine protégées,https://canadian-geospatial-platform.github.io/semantic-search-demo/,En français,019f61a8-af20-7ad2-95b4-2b6c29eca42a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",kvb8j263ctglggmz,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,150,canadian-geospatial-platform.github.io,https://canadian-geospatial-platform.github.io/semantic-search-demo/,True,Desktop,1,019f61ab-2e37-7f63-bc04-70d076e8a9a5,948,df908741-28cb-4c9d-b363-bbc583a9f616,2ème,019f3cf9-c8ba-0000-5d0d-31211fca0025,canadian-geospatial-platform.github.io,Search Comparison Survey [FR],1080,web,npm,205.194.32.27,2026-07-14T17:28:15.846Z,Canada,CA,North America,NA,43.709,-79.4057,1000,America/Toronto,ON,Ontario,GeoIP (0194fea0-5760-0000-9549-0e34aee4ad1e),False,2026-07-14 17:28:12.956000+00:00,74938,019f61ab-2e35-7596-9c58-f34ab5c2461f,,2026-07-14 17:28:16.538000+00:00,propertyless,,En français,Résultats de la Recherche Sémantique,2ème,1er,2026-07-14 17:28:12.956000+00:00,019f61ab-2e35-7596-9c58-f34ab5c2461f
